VIN SALGA2AJ3KA546036
Model L405 - Range Rover 2019 
Log Log #15 saved on the Mon, May 12 2025 05:43:27 p.m.
IIDControl 4.2.11 Build 168 Android - IIDTool BT V4.0 B0307 


Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Live Value Name:, Times:, States:, Values:,,,Event name:,Speed:(km/h),Time:(s),
"Boost Absolute Pressure - Raw Value",0,"","",,,"Fuel Rail Pressure",0,"","",,,"Commanded Fuel Rail Pressure A",0,"","",,,"Commanded Fuel Rail Pressure A supported",0,"Undefined","",,,"Commanded Fuel Rail Pressure B",0,"","",,,"Commanded Fuel Rail Pressure B supported",0,"Undefined","",,,"Fuel Rail Pressure A",0,"","",,,"Fuel Rail Pressure A supported",0,"Undefined","",,,"Fuel Rail Pressure B",0,"","",,,"Fuel Rail Pressure B supported",0,"Undefined","",,,"Fuel Rail Temperature A",0,"","",,,"Fuel Rail Temperature B",0,"","",,,"Fuel Temperature A supported",0,"Undefined","",,,"Fuel Temperature B supported",0,"Undefined","",,,"Engine RPM",0,"","",,,
"Boost Absolute Pressure - Raw Value",0.069000,"","107.192993",,,"Fuel Rail Pressure",0.099000,"","35280.000000",,,"Commanded Fuel Rail Pressure A",0.009000,"","32570.000000",,,"Commanded Fuel Rail Pressure A supported",0.009000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.009000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.009000,"No","1",,,"Fuel Rail Pressure A",0.009000,"","36470.000000",,,"Fuel Rail Pressure A supported",0.009000,"Yes","1",,,"Fuel Rail Pressure B",0.009000,"","0.000000",,,"Fuel Rail Pressure B supported",0.009000,"No","1",,,"Fuel Rail Temperature A",0.009000,"","46.000000",,,"Fuel Rail Temperature B",0.009000,"","0.000000",,,"Fuel Temperature A supported",0.009000,"Yes","1",,,"Fuel Temperature B supported",0.009000,"No","1",,,"Engine RPM",0.038000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.190000,"","107.192993",,,"Fuel Rail Pressure",0.219000,"","33290.000000",,,"Commanded Fuel Rail Pressure A",0.129000,"","32620.000000",,,"Commanded Fuel Rail Pressure A supported",0.129000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.129000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.129000,"No","1",,,"Fuel Rail Pressure A",0.129000,"","34870.000000",,,"Fuel Rail Pressure A supported",0.129000,"Yes","1",,,"Fuel Rail Pressure B",0.129000,"","0.000000",,,"Fuel Rail Pressure B supported",0.129000,"No","1",,,"Fuel Rail Temperature A",0.129000,"","46.000000",,,"Fuel Rail Temperature B",0.129000,"","0.000000",,,"Fuel Temperature A supported",0.129000,"Yes","1",,,"Fuel Temperature B supported",0.129000,"No","1",,,"Engine RPM",0.159000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.309000,"","107.299805",,,"Fuel Rail Pressure",0.339000,"","31690.000000",,,"Commanded Fuel Rail Pressure A",0.252000,"","32370.000000",,,"Commanded Fuel Rail Pressure A supported",0.252000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.252000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.252000,"No","1",,,"Fuel Rail Pressure A",0.252000,"","32880.000000",,,"Fuel Rail Pressure A supported",0.252000,"Yes","1",,,"Fuel Rail Pressure B",0.252000,"","0.000000",,,"Fuel Rail Pressure B supported",0.252000,"No","1",,,"Fuel Rail Temperature A",0.252000,"","46.000000",,,"Fuel Rail Temperature B",0.252000,"","0.000000",,,"Fuel Temperature A supported",0.252000,"Yes","1",,,"Fuel Temperature B supported",0.252000,"No","1",,,"Engine RPM",0.279000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.429000,"","107.299805",,,"Fuel Rail Pressure",0.459000,"","29700.000000",,,"Commanded Fuel Rail Pressure A",0.369000,"","32300.000000",,,"Commanded Fuel Rail Pressure A supported",0.369000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.369000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.369000,"No","1",,,"Fuel Rail Pressure A",0.369000,"","31300.000000",,,"Fuel Rail Pressure A supported",0.369000,"Yes","1",,,"Fuel Rail Pressure B",0.369000,"","0.000000",,,"Fuel Rail Pressure B supported",0.369000,"No","1",,,"Fuel Rail Temperature A",0.369000,"","46.000000",,,"Fuel Rail Temperature B",0.369000,"","0.000000",,,"Fuel Temperature A supported",0.369000,"Yes","1",,,"Fuel Temperature B supported",0.369000,"No","1",,,"Engine RPM",0.399000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.549000,"","107.299805",,,"Fuel Rail Pressure",0.579000,"","28110.000000",,,"Commanded Fuel Rail Pressure A",0.488000,"","32120.000000",,,"Commanded Fuel Rail Pressure A supported",0.488000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.488000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.488000,"No","1",,,"Fuel Rail Pressure A",0.488000,"","29300.000000",,,"Fuel Rail Pressure A supported",0.488000,"Yes","1",,,"Fuel Rail Pressure B",0.488000,"","0.000000",,,"Fuel Rail Pressure B supported",0.488000,"No","1",,,"Fuel Rail Temperature A",0.488000,"","46.000000",,,"Fuel Rail Temperature B",0.488000,"","0.000000",,,"Fuel Temperature A supported",0.488000,"Yes","1",,,"Fuel Temperature B supported",0.488000,"No","1",,,"Engine RPM",0.519000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.669000,"","107.299805",,,"Fuel Rail Pressure",0.700000,"","26530.000000",,,"Commanded Fuel Rail Pressure A",0.609000,"","32000.000000",,,"Commanded Fuel Rail Pressure A supported",0.609000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.609000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.609000,"No","1",,,"Fuel Rail Pressure A",0.609000,"","27720.000000",,,"Fuel Rail Pressure A supported",0.609000,"Yes","1",,,"Fuel Rail Pressure B",0.609000,"","0.000000",,,"Fuel Rail Pressure B supported",0.609000,"No","1",,,"Fuel Rail Temperature A",0.609000,"","46.000000",,,"Fuel Rail Temperature B",0.609000,"","0.000000",,,"Fuel Temperature A supported",0.609000,"Yes","1",,,"Fuel Temperature B supported",0.609000,"No","1",,,"Engine RPM",0.639000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.788000,"","107.299805",,,"Fuel Rail Pressure",0.818000,"","25320.000000",,,"Commanded Fuel Rail Pressure A",0.729000,"","31870.000000",,,"Commanded Fuel Rail Pressure A supported",0.729000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.729000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.729000,"No","1",,,"Fuel Rail Pressure A",0.729000,"","26100.000000",,,"Fuel Rail Pressure A supported",0.729000,"Yes","1",,,"Fuel Rail Pressure B",0.729000,"","0.000000",,,"Fuel Rail Pressure B supported",0.729000,"No","1",,,"Fuel Rail Temperature A",0.729000,"","46.000000",,,"Fuel Rail Temperature B",0.729000,"","0.000000",,,"Fuel Temperature A supported",0.729000,"Yes","1",,,"Fuel Temperature B supported",0.729000,"No","1",,,"Engine RPM",0.758000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",0.909000,"","107.192993",,,"Fuel Rail Pressure",0.939000,"","24520.000000",,,"Commanded Fuel Rail Pressure A",0.848000,"","31730.000000",,,"Commanded Fuel Rail Pressure A supported",0.848000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.848000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.848000,"No","1",,,"Fuel Rail Pressure A",0.848000,"","24910.000000",,,"Fuel Rail Pressure A supported",0.848000,"Yes","1",,,"Fuel Rail Pressure B",0.848000,"","0.000000",,,"Fuel Rail Pressure B supported",0.848000,"No","1",,,"Fuel Rail Temperature A",0.848000,"","46.000000",,,"Fuel Rail Temperature B",0.848000,"","0.000000",,,"Fuel Temperature A supported",0.848000,"Yes","1",,,"Fuel Temperature B supported",0.848000,"No","1",,,"Engine RPM",0.878000,"","704.000000",,,
"Boost Absolute Pressure - Raw Value",1.030000,"","107.093811",,,"Fuel Rail Pressure",1.059000,"","24520.000000",,,"Commanded Fuel Rail Pressure A",0.969000,"","31950.000000",,,"Commanded Fuel Rail Pressure A supported",0.969000,"Yes","1",,,"Commanded Fuel Rail Pressure B",0.969000,"","0.000000",,,"Commanded Fuel Rail Pressure B supported",0.969000,"No","1",,,"Fuel Rail Pressure A",0.969000,"","24520.000000",,,"Fuel Rail Pressure A supported",0.969000,"Yes","1",,,"Fuel Rail Pressure B",0.969000,"","0.000000",,,"Fuel Rail Pressure B supported",0.969000,"No","1",,,"Fuel Rail Temperature A",0.969000,"","46.000000",,,"Fuel Rail Temperature B",0.969000,"","0.000000",,,"Fuel Temperature A supported",0.969000,"Yes","1",,,"Fuel Temperature B supported",0.969000,"No","1",,,"Engine RPM",1.000000,"","704.000000",,,
